School,Address,Latitude,Longitude
P.S. 004 Duke Ellington,"500 WEST 160 STREET MANHATTAN, NY 10032",40.834847,-73.941204
P.S. 004 Maurice Wollin,"200 NEDRA LANE STATEN ISLAND, NY 10312",40.552373,-74.195516
P.S. 005 Dr. Ronald Mcnair,"820 HANCOCK STREET BROOKLYN, NY 11233",40.685546,-73.922603
P.S. 005 Ellen Lurie,"3703 TENTH AVENUE MANHATTAN, NY 10034",40.85892,-73.922428
P.S. 007 Abraham Lincoln,"858 JAMAICA AVENUE BROOKLYN, NY 11208",40.689594,-73.872989
P.S. 008 Issac Varian,"3010 BRIGGS AVENUE BRONX, NY 10458",40.872402,-73.883651
P.S. 008 Luis Belliard,"465 WEST 167 STREET MANHATTAN, NY 10032",40.839031,-73.936713
P.S. 009 Sarah Anderson,"100 WEST 84 STREET MANHATTAN, NY 10024",40.785287,-73.973745
P.S. 011 Highbridge,"1257 OGDEN AVENUE BRONX, NY 10452",40.839672,-73.925699
P.S. 011 William T. Harris,"320 WEST 21 STREET MANHATTAN, NY 10011",40.744466,-74.000772
P.S. 012 James B. Colgate,"42-00 72 STREET QUEENS, NY 11377",40.742363,-73.892978
P.S. 013 Clement C. Moore,"55-01 94 STREET QUEENS, NY 11373",40.737342,-73.868169
P.S. 013 Roberto Clemente,"557 PENNSYLVANIA AVENUE BROOKLYN, NY 11207",40.663642,-73.893547
P.S. 014 Fairview,"107-01 OTIS AVENUE QUEENS, NY 11368",40.740865,-73.854178
P.S. 015 Patrick F. Daly,"71 SULLIVAN STREET BROOKLYN, NY 11231",40.67711,-74.011445
P.S. 016 John J. Driscoll,"195 DANIEL LOW TERRACE STATEN ISLAND, NY 10301",40.639614,-74.079933
P.S. 017 Henry D. Woodworth,"208 NORTH 5 STREET BROOKLYN, NY 11211",40.715362,-73.956968
P.S. 018 Edward Bush,"101 MAUJER STREET BROOKLYN, NY 11206",40.71072,-73.946899
P.S. 018 John G. Whittier,"221 BROADWAY STATEN ISLAND, NY 10310",40.636836,-74.117346
P.S. 018 John Peter Zenger,"502 MORRIS AVENUE BRONX, NY 10451",40.816426,-73.92299
P.S. 019 Asher Levy,"185 1 AVENUE MANHATTAN, NY 10003",40.729735,-73.984018
P.S. 020 Port Richmond,"161 PARK AVENUE STATEN ISLAND, NY 10302",40.636739,-74.132576
P.S. 021 Crispus Attucks,"180 CHAUNCEY STREET BROOKLYN, NY 11233",40.680632,-73.926256
P.S. 021 Edward Hart,"147-36 26 AVENUE QUEENS, NY 11354",40.774352,-73.817933
P.S. 021 Philip H. Sheridan,"715 EAST 225 STREET BRONX, NY 10466",40.887664,-73.859729
P.S. 022 Graniteville Extension,"1860 FOREST AVENUE STATEN ISLAND, NY 10303",40.625168,-74.151187
P.S. 026 The Carteret School,"4108 VICTORY BOULEVARD STATEN ISLAND, NY 10314",40.591679,-74.190284
P.S. 028 Mount Hope,"1861 ANTHONY AVENUE BRONX, NY 10457",40.84829,-73.90355
P.S. 028 Wright Brothers,"475 WEST 155 STREET MANHATTAN, NY 10032",40.831546,-73.942404
P.S. 030 Westerleigh,"200 WARDWELL AVENUE STATEN ISLAND, NY 10314",40.618018,-74.132847
P.S. 031 Samuel F. Dupont,"75 MESEROLE AVENUE BROOKLYN, NY 11222",40.726753,-73.954039
P.S. 031 William T. Davis,"55 LAYTON AVENUE STATEN ISLAND, NY 10301",40.64174,-74.085515
P.S. 032 Belmont,"690 EAST 183 STREET BRONX, NY 10458",40.852013,-73.886056
P.S. 033 Timothy Dwight,"2424 JEROME AVENUE BRONX, NY 10468",40.861675,-73.901633
P.S. 036 Margaret Douglas,"123 MORNINGSIDE DRIVE MANHATTAN, NY 10027",40.810509,-73.957399
P.S. 036 Unionport,"1070 CASTLE HILL AVENUE BRONX, NY 10472",40.829418,-73.850258
P.S. 038 The Pacific,"450 PACIFIC STREET BROOKLYN, NY 11217",40.685094,-73.982632
P.S. 041 Francis White,"411 THATFORD AVENUE BROOKLYN, NY 11212",40.660349,-73.90725
P.S. 041 Greenwich Village,"116 WEST 11 STREET MANHATTAN, NY 10011",40.73556,-73.999014
P.S. 041 Gun Hill Road,"3352 OLINVILLE AVENUE BRONX, NY 10467",40.874514,-73.868021
P.S. 042 Benjamin Altman,"71 HESTER STREET MANHATTAN, NY 10002",40.715983,-73.99088
P.S. 042 Claremont,"1537 WASHINGTON AVENUE BRONX, NY 10457",40.83856,-73.903026
P.S. 044 Marcus Garvey,"432 MONROE STREET BROOKLYN, NY 11221",40.686421,-73.940983
P.S. 044 Thomas C. Brown,"80 MAPLE PARKWAY STATEN ISLAND, NY 10303",40.631621,-74.156757
P.S. 046 Alley Pond,"64-45 218 STREET QUEENS, NY 11364",40.745298,-73.758167
P.S. 046 Arthur Tappan,"2987 FREDERICK DOUGLASS BOULEVARD MANHATTAN, NY 10039",40.831491,-73.935885
P.S. 046 Edgar Allan Poe,"279 EAST 196 STREET BRONX, NY 10458",40.86695,-73.890627
P.S. 047 John Randolph,"1794 EAST 172 STREET BRONX, NY 10472",40.83274,-73.866996
P.S. 048 Mapleton,"6015 18 AVENUE BROOKLYN, NY 11204",40.595216,-73.974594
P.S. 048 William Wordsworth,"108-29 155 STREET QUEENS, NY 11433",40.69357,-73.796108
P.S. 049 Dorothy Bonawit Kole,"63-60 80th Street QUEENS, NY 11379",40.719518,-73.875034
P.S. 052 John C. Thompson,"450 BUEL AVENUE STATEN ISLAND, NY 10305",40.58247,-74.088403
P.S. 052 Sheepshead Bay,"2675 EAST 29 STREET BROOKLYN, NY 11235",40.587404,-73.940252
P.S. 053 Basheer Quisim,"360 EAST 168 STREET BRONX, NY 10456",40.832764,-73.911504
