school,address,latitude,longitude
P.S. 046 Arthur Tappan,"2987 Frederick Douglass Blvd, New York, NY 10039, USA",40.8316474,-73.93607399999999
P.S. 046 Edgar Allan Poe,"279 E 196th St, The Bronx, NY 10458, USA",40.8669496,-73.8906272
P.S. 047 John Randolph,"1794 E 172nd St, The Bronx, NY 10472, USA",40.8325729,-73.8669915
P.S. 048 Mapleton,"6015 18th Ave, Brooklyn, NY 11204, USA",40.6214814,-73.9873187
P.S. 048 William Wordsworth,"108-29 155th St, Jamaica, NY 11433, USA",40.693624,-73.79609239999999
P.S. 049 Dorothy Bonawit Kole,"63-60 80th St, Middle Village, NY 11379, USA",40.7195174,-73.8750343
P.S. 052 John C. Thompson,"450 Buel Ave, Staten Island, NY 10305, USA",40.582345,-74.0882987
P.S. 052 Sheepshead Bay,"2675 E 29th St, Brooklyn, NY 11235, USA",40.5874041,-73.9402515
P.S. 053 Basheer Quisim,"360 E 168th St, The Bronx, NY 10456, USA",40.8327824,-73.91187029999999
P.S. 053 Bay Terrace,"330 Durant Ave, Staten Island, NY 10308, USA",40.55212849999999,-74.137382
P.S. 054 Charles W. Leng,"1060 Willowbrook Rd, Staten Island, NY 10314, USA",40.6027868,-74.1378509
P.S. 055 Henry M. Boehm,"54 Osborne St, Staten Island, NY 10312, USA",40.5364146,-74.1635459
P.S. 056 Norwood Heights,"341 E 207th St, The Bronx, NY 10467, USA",40.875481,-73.874889
P.S. 057 Crescent,"2111 Crotona Ave, The Bronx, NY 10457, USA",40.84868900000001,-73.8889039
P.S. 057 Hubert H. Humphrey,"140 Palma Dr, Staten Island, NY 10304, USA",40.611093,-74.0835263
P.S. 058,"459 E 176th St, The Bronx, NY 10457, USA",40.8461805,-73.8988335
P.S. 059 The Community School of Technology,"2185 Bathgate Ave, The Bronx, NY 10457, USA",40.853105,-73.8935685
P.S. 060 Alice Austen,"55 Merrill Ave, Staten Island, NY 10314, USA",40.6104171,-74.1624387
P.S. 060 Woodhaven,"91-02 88th Ave, Jamaica, NY 11421, USA",40.691436,-73.85279
P.S. 062 Chester Park,"97-25 108th St, South Richmond Hill, NY 11419, USA",40.6888061,-73.8359335
P.S. 062 Inocensio Casanova,"660 Fox St, The Bronx, NY 10455, USA",40.8138781,-73.9003875
P.S. 063 Author's Academy,"1260 Franklin Ave, The Bronx, NY 10456, USA",40.8308954,-73.9023857
P.S. 064 Robert Simon,"600 E 6th St, New York, NY 10009, USA",40.7238456,-73.9817633
P.S. 066 School of Higher Expectations,"1001 Jennings St, The Bronx, NY 10460, USA",40.8312555,-73.8866072
P.S. 067 Charles A. Dorsey,"51 St Edwards St, Brooklyn, NY 11205, USA",40.6950519,-73.977811
P.S. 067 Mohegan School,"2024 Mohegan Ave, The Bronx, NY 10460, USA",40.8437949,-73.88451529999999
P.S. 069 Daniel D. Tompkins,"144 Keating Pl, Staten Island, NY 10314, USA",40.5914223,-74.15730119999999
P.S. 069 Jackson Heights,"77-02 37th Ave, Jackson Heights, NY 11372, USA",40.7486886,-73.88867429999999
P.S. 070 Max Schoenfeld,"1691 Weeks Ave, The Bronx, NY 10457, USA",40.844366,-73.9078731
P.S. 071 Rose E. Scala,"3040 Roberts Ave, The Bronx, NY 10461, USA",40.8455954,-73.8296383
P.S. 072 Dr. William Dorney,"2951 Dewey Ave, The Bronx, NY 10465, USA",40.8230948,-73.8183344
P.S. 075 Mayda Cortiella,"95 Grove St, Brooklyn, NY 11221, USA",40.6933407,-73.9215154
P.S. 076 A. Philip Randolph,"220 W 121st St, New York, NY 10027, USA",40.8065013,-73.9511366
P.S. 076 The Bennington School,"900 Adee Ave, The Bronx, NY 10469, USA",40.8691678,-73.861111
P.S. 078 Anne Hutchinson,"1400 Needham Ave, The Bronx, NY 10469, USA",40.8784734,-73.8508198
P.S. 081 Thaddeus Stevens,"990 Dekalb Ave, Brooklyn, NY 11221, USA",40.6930667,-73.9347451
P.S. 083 Donald Hertz,"1840 Bogart Ave, The Bronx, NY 10462, USA",40.8486206,-73.85853829999999
P.S. 083 Luis Munoz Rivera,"219 E 109th St, New York, NY 10029, USA",40.7931298,-73.9418125
P.S. 084 Jose De Diego,"250 Berry St, Brooklyn, NY 11249, USA",40.7148137,-73.9633052
P.S. 085 Judge Charles Vallone,"23-70 31st St, Astoria, NY 11105, USA",40.7730089,-73.9148429
P.S. 086 Kingsbridge Heights,"2756 Reservoir Ave, The Bronx, NY 10468, USA",40.8698472,-73.8982631
P.S. 086 The Irvington,"220 Irving Ave, Brooklyn, NY 11237, USA",40.7007483,-73.91766009999999
P.S. 089 Bronx,"980 Mace Ave, The Bronx, NY 10469, USA",40.8626481,-73.8594112
P.S. 091 Bronx,"2170 Aqueduct Ave, The Bronx, NY 10453, USA",40.8576848,-73.907696
P.S. 091 The Albany Avenue School,"532 Albany Ave, Brooklyn, NY 11203, USA",40.661782,-73.9402559
P.S. 092 Adrian Hegeman,"601 Parkside Ave, Brooklyn, NY 11226, USA",40.6562478,-73.9535703
P.S. 093 Albert G. Oliver,"1535 Story Ave, The Bronx, NY 10473, USA",40.822513,-73.87725499999999
P.S. 094 The Henry Longfellow,"5010 6th Ave, Brooklyn, NY 11220, USA",40.64365189999999,-74.00866669999999
P.S. 095 Sheila Mencher,"3961 Hillman Ave, The Bronx, NY 10463, USA",40.8830979,-73.8914763
P.S. 095 The Gravesend,"345 Van Sicklen St, Brooklyn, NY 11223, USA",40.5960982,-73.9747677
P.S. 096 Joseph Lanzetta,"216 E 120th St, New York, NY 10035, USA",40.8000808,-73.9373659
P.S. 097 Bronx,"1375 Mace Ave, The Bronx, NY 10469, USA",40.8630715,-73.84694689999999
P.S. 097 Forest Park,"85-52 85th St, Jamaica, NY 11421, USA",40.694215,-73.860039
P.S. 098 Shorac Kappock,"512 W 212th St, New York, NY 10034, USA",40.8678429,-73.9176573
P.S. 099 Isaac Asimov,"1120 E 10th St, Brooklyn, NY 11230, USA",40.6215239,-73.9658847
P.S. 100 Glen Morris,"11111 118th St, South Ozone Park, NY 11420, USA",40.6797868,-73.8217216
P.S. 100 Isaac Clason,"800 Taylor Ave, The Bronx, NY 10473, USA",40.82189169999999,-73.8626271
P.S. 100 The Coney Island School,"2951 W 3rd St, Brooklyn, NY 11224, USA",40.5775446,-73.9708356
P.S. 101 The Verrazano,"2360 Benson Ave, Brooklyn, NY 11214, USA",40.5975833,-73.99204759999999
P.S. 102 The Bayview,"211 72nd St, Brooklyn, NY 11209, USA",40.634563,-74.0290168
P.S. 103 Hector Fontanez,"4125 Carpenter Ave, The Bronx, NY 10466, USA",40.8923187,-73.8618979
P.S. 104 The Bays Water,"26-1 Mott Ave, Far Rockaway, NY 11691, USA",40.6081998,-73.7648988
P.S. 105 Sen Abraham Bernstein,"725 Brady Ave, The Bronx, NY 10462, USA",40.8527674,-73.8664014
P.S. 105 The Blythebourne,"1031 59th St, Brooklyn, NY 11219, USA",40.6331135,-74.0036168
P.S. 106 Edward Everett Hale,"1328 Putnam Ave, Brooklyn, NY 11221, USA",40.69370809999999,-73.9125749
P.S. 107 Thomas A Dooley,"167-02 45th Ave, Flushing, NY 11358, USA",40.7555258,-73.79924419999999
P.S. 107,"1695 Seward Ave, The Bronx, NY 10473, USA",40.8187805,-73.8684748
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,"1615 Madison Ave, New York, NY 10029, USA",40.7951252,-73.9478762
P.S. 108 Sal Abbracciamento,"200 Linwood St, Brooklyn, NY 11208, USA",40.6812345,-73.8843103
P.S. 109 Sedgwick,"1771 Popham Ave, The Bronx, NY 10453, USA",40.8517883,-73.91862069999999
P.S. 11 Thomas Dongan School,"51 Jefferson St, Staten Island, NY 10304, USA",40.5903818,-74.0978726
