school, address
"P.S. 071 Rose E. Scala", "3040 ROBERTS AVENUE BRONX, NY 10461"
"P.S. 072 Dr. William Dorney", "2951 DEWEY AVENUE BRONX, NY 10465"
"P.S. 075 Mayda Cortiella", "95 GROVE STREET BROOKLYN, NY 11221"
"P.S. 076 A. Philip Randolph", "220 WEST 121 STREET MANHATTAN, NY 10027"
"P.S. 076 The Bennington School", "900 ADEE AVENUE BRONX, NY 10469"
"P.S. 078 Anne Hutchinson", "1400 NEEDHAM AVENUE BRONX, NY 10469"
"P.S. 081 Thaddeus Stevens", "990 DEKALB AVENUE BROOKLYN, NY 11221"
"P.S. 083 Donald Hertz", "1840 BOGART AVENUE BRONX, NY 10462"
"P.S. 083 Luis Munoz Rivera", "219 EAST 109 STREET MANHATTAN, NY 10029"
"P.S. 084 Jose De Diego", "250 BERRY STREET BROOKLYN, NY 11211"
"P.S. 085 Judge Charles Vallone", "23-70 31 STREET QUEENS, NY 11105"
"P.S. 086 Kingsbridge Heights", "2756 RESERVOIR AVENUE BRONX, NY 10468"
"P.S. 086 The Irvington", "220 IRVING AVENUE BROOKLYN, NY 11237"
"P.S. 089 Bronx", "980 MACE AVENUE BRONX, NY 10469"
"P.S. 091 Bronx", "2170 AQUEDUCT AVENUE BRONX, NY 10453"
"P.S. 091 The Albany Avenue School", "532 ALBANY AVENUE BROOKLYN, NY 11203"
"P.S. 092 Adrian Hegeman", "601 PARKSIDE AVENUE BROOKLYN, NY 11226"
"P.S. 093 Albert G. Oliver", "1535 STORY AVENUE BRONX, NY 10473"
"P.S. 094 The Henry Longfellow", "5010 6 AVENUE BROOKLYN, NY 11220"
"P.S. 095 Sheila Mencher", "3961 HILLMAN AVENUE BRONX, NY 10463"
"P.S. 095 The Gravesend", "345 VAN SICKLEN STREET BROOKLYN, NY 11223"
"P.S. 096 Joseph Lanzetta", "216 EAST 120 STREET MANHATTAN, NY 10035"
"P.S. 097 Bronx", "1375 MACE AVENUE BRONX, NY 10469"
"P.S. 097 Forest Park", "85-52 85 STREET QUEENS, NY 11421"
"P.S. 098 Shorac Kappock", "512 WEST 212 STREET MANHATTAN, NY 10034"
"P.S. 099 Isaac Asimov", "1120 EAST 10 STREET BROOKLYN, NY 11230"
"P.S. 100 Glen Morris", "111-11 118 STREET QUEENS, NY 11420"
"P.S. 100 Isaac Clason", "800 TAYLOR AVENUE BRONX, NY 10473"
"P.S. 100 The Coney Island School", "2951 WEST 3 STREET BROOKLYN, NY 11224"
"P.S. 101 The Verrazano", "2360 BENSON AVENUE BROOKLYN, NY 11214"
"P.S. 102 The Bayview", "211 72 STREET BROOKLYN, NY 11209"
"P.S. 103 Hector Fontanez", "4125 CARPENTER AVENUE BRONX, NY 10466"
"P.S. 104 The Bays Water", "26-01 MOTT AVENUE QUEENS, NY 11691"
"P.S. 105 Sen Abraham Bernstein", "725 BRADY AVENUE BRONX, NY 10462"
"P.S. 105 The Blythebourne", "1031 59 STREET BROOKLYN, NY 11219"
"P.S. 106 Edward Everett Hale", "1328 PUTNAM AVENUE BROOKLYN, NY 11221"
"P.S. 107 Thomas A Dooley", "167-02 45 AVENUE QUEENS, NY 11358"
"P.S. 107", "1695 SEWARD AVENUE BRONX, NY 10473"
"P.S. 108 Assemblyman Angelo Del Toro Educational Complex", "1615 MADISON AVENUE MANHATTAN, NY 10029"
"P.S. 108 Sal Abbracciamento", "200 LINWOOD STREET BROOKLYN, NY 11208"
"P.S. 109 Sedgwick", "1771 POPHAM AVENUE BRONX, NY 10453"
"P.S. 11 Thomas Dongan School", "51 JEFFERSON STREET STATEN ISLAND, NY 10304"
"P.S. 110 Theodore Schoenfeld", "580 CROTONA PARK SOUTH BRONX, NY 10456"
"P.S. 111 Adolph S. Ochs", "440 WEST 53 STREET MANHATTAN, NY 10019"
"P.S. 111 Jacob Blackwell", "37-15 13 STREET QUEENS, NY 11101"
"P.S. 111 Seton Falls", "3740 BAYCHESTER AVENUE BRONX, NY 10466"
"P.S. 112 Bronxwood", "1925 SCHIEFFELIN AVENUE BRONX, NY 10466"
"P.S. 112 Jose Celso Barbosa", "535 EAST 119 STREET MANHATTAN, NY 10035"
"P.S. 115 Alexander Humboldt", "586 WEST 177 STREET MANHATTAN, NY 10033"
"P.S. 115 Daniel Mucatel School", "1500 EAST 92 STREET BROOKLYN, NY 11236"
"P.S. 117 J. Keld / Briarwood School", "85-15 143 STREET QUEENS, NY 11435"
"P.S. 119 Amersfort", "3829 AVENUE K BROOKLYN, NY 11210"
"P.S. 119", "1075 PUGSLEY AVENUE BRONX, NY 10472"
"P.S. 120 Carlos Tapia", "18 BEAVER STREET BROOKLYN, NY 11206"
"P.S. 120 Queens", "58-01 136 STREET QUEENS, NY 11355"
"P.S. 122 Mamie Fay", "21-21 DITMARS BOULEVARD QUEENS, NY 11105"
"P.S. 123 Mahalia Jackson", "301 WEST 140 STREET MANHATTAN, NY 10030"
"P.S. 123 Suydam", "100 IRVING AVENUE BROOKLYN, NY 11237"
"P.S. 124 Silas B. Dutcher", "515 4 AVENUE BROOKLYN, NY 11215"
"P.S. 126 Dr Marjorie H Dunbar", "175 WEST 166 STREET BRONX, NY 10452"
"P.S. 126 Jacob August Riis", "80 CATHERINE STREET MANHATTAN, NY 10038"
"P.S. 127 Mckinley Park", "7805 7 AVENUE BROOKLYN, NY 11228"
"P.S. 128 Bensonhurst", "2075 84 STREET BROOKLYN, NY 11214"
"P.S. 130 Hernando De Soto", "143 BAXTER STREET MANHATTAN, NY 10013"
"P.S. 130 The Parkside", "70 OCEAN PARKWAY BROOKLYN, NY 11218"
"P.S. 131 Brooklyn", "4305 FT HAMILTON PARKWAY BROOKLYN, NY 11219"
"P.S. 133 Fred R Moore", "2121 5 AVENUE MANHATTAN, NY 10037"
"P.S. 134 George F. Bristow", "1330 BRISTOW STREET BRONX, NY 10459"
"P.S. 134 Hollis", "203-02 109 AVENUE QUEENS, NY 11412"
"P.S. 135 Sheldon A. Brookner", "5811 DITMAS AVENUE BROOKLYN, NY 11203"
"P.S. 135 Sheldon A. Brookner", "684 LINDEN BOULEVARD BROOKLYN, NY 11203"
"P.S. 138 Brooklyn", "760 PROSPECT PLACE BROOKLYN, NY 11216"
"P.S. 139 Alexine A. Fenty", "330 RUGBY ROAD BROOKLYN, NY 11226"
"P.S. 142 Amalia Castro", "100 ATTORNEY STREET MANHATTAN, NY 10002"
"P.S. 147 Isaac Remsen", "325 BUSHWICK AVENUE BROOKLYN, NY 11206"
"P.S. 148 Queens", "89-02 32 AVENUE QUEENS, NY 11369"
"P.S. 149 Christa Mcauliffe", "93-11 34 AVENUE QUEENS, NY 11372"
"P.S. 149 Sojourner Truth", "41 WEST 117 STREET MANHATTAN, NY 10026"
"P.S. 150 Charles James Fox", "920 EAST 167 STREET BRONX, NY 10459"
"P.S. 150 Christopher", "364 SACKMAN STREET BROOKLYN, NY 11212"
"P.S. 150 Queens", "40-01 43 AVENUE QUEENS, NY 11104"
"P.S. 151 Lyndon B. Johnson", "763 KNICKERBOCKER AVENUE BROOKLYN, NY 11207"
"P.S. 152 Dyckman Valley", "93 NAGLE AVENUE MANHATTAN, NY 10040"
"P.S. 154 Harriet Tubman", "250 WEST 127 STREET MANHATTAN, NY 10027"
"P.S. 157 Benjamin Franklin", "850 KENT AVENUE BROOKLYN, NY 11205"
"P.S. 158 Warwick", "400 ASHFORD STREET BROOKLYN, NY 11207"
"P.S. 159 Isaac Pitkin", "2781 PITKIN AVENUE BROOKLYN, NY 11208"
"P.S. 160 Walt Disney", "4140 HUTCHINSON RIVER PKWAY EA BRONX, NY 10475"
"P.S. 160", "1057 52ND STREET BROOKLYN, NY 11219"
"P.S. 161 Pedro Albizu Campos", "499 WEST 133 STREET MANHATTAN, NY 10027"
"P.S. 161 The Crown", "330 CROWN STREET BROOKLYN, NY 11225"
"P.S. 163 Alfred E. Smith", "163 WEST 97 STREET MANHATTAN, NY 10025"
"P.S. 163 Arthur A. Schomburg", "2075 WEBSTER AVENUE BRONX, NY 10457"
"P.S. 164 Caesar Rodney", "4211 14 AVENUE BROOKLYN, NY 11219"
"P.S. 165 Edith K. Bergtraum", "70-35 150 STREET QUEENS, NY 11367"
